a b c h
0.28 0.58 0.10 1.458
0.29 0.15 0.36 1.458
0.29 0.28 0.28 1.458
0.29 0.59 0.09 1.458
0.3 0.16 0.35 1.458
0.3 0.29 0.27 1.458
0.3 0.60 0.08 1.458
0.31 0.17 0.34 1.458
0.31 0.30 0.26 1.458
0.31 0.61 0.07 1.458
0.32 0.18 0.33 1.458
0.32 0.31 0.25 1.458
0.32 0.62 0.06 1.458
0.33 0.19 0.32 1.458
0.33 0.32 0.24 1.458
0.34 0.20 0.31 1.458
0.34 0.33 0.23 1.458
0.35000000000000003 0.21 0.30 1.458
0.35000000000000003 0.34 0.22 1.458
0.36 0.22 0.29 1.458
0.36 0.35 0.21 1.458
0.37 0.23 0.28 1.458
0.37 0.36 0.20 1.458
0.38 0.24 0.27 1.458
0.38 0.37 0.19 1.458
0.39 0.25 0.26 1.458
0.39 0.38 0.18 1.458
0.4 0.26 0.25 1.458
0.4 0.39 0.17 1.458
0.41000000000000003 0.27 0.24 1.458
0.41000000000000003 0.40 0.16 1.458
0.42 0.28 0.23 1.458
0.42 0.41 0.15 1.458
0.43 0.29 0.22 1.458
0.43 0.42 0.14 1.458
0.44 0.30 0.21 1.458
0.44 0.43 0.13 1.458
0.45 0.00 0.39 1.458
0.45 0.31 0.20 1.458
0.45 0.44 0.12 1.458
0.46 0.01 0.38 1.458
0.46 0.32 0.19 1.458
0.47000000000000003 0.02 0.37 1.458
0.47000000000000003 0.33 0.18 1.458
0.48 0.03 0.36 1.458
0.48 0.34 0.17 1.458
0.49 0.04 0.35 1.458
0.49 0.35 0.16 1.458
0.5 0.05 0.34 1.458
0.5 0.36 0.15 1.458
0.51 0.06 0.33 1.458
0.52 0.07 0.32 1.458
0.53 0.08 0.31 1.458
0.54 0.09 0.30 1.458
0.55 0.10 0.29 1.458
0.56 0.11 0.28 1.458
0.5700000000000001 0.12 0.27 1.458
0.58 0.13 0.26 1.458
0.59 0.14 0.25 1.458
0.6 0.15 0.24 1.458
0.61 0.16 0.23 1.458

0.0 0.04 0.54 1.459
0.0 0.17 0.46 1.459
0.0 0.35 0.35 1.459
0.0 0.48 0.27 1.459
0.0 0.79 0.08 1.459
0.01 0.05 0.53 1.459
0.01 0.18 0.45 1.459
0.01 0.36 0.34 1.459
0.01 0.49 0.26 1.459
0.01 0.80 0.07 1.459
0.02 0.06 0.52 1.459
0.02 0.19 0.44 1.459
0.02 0.37 0.33 1.459
0.02 0.50 0.25 1.459
0.02 0.81 0.06 1.459
0.03 0.07 0.51 1.459
0.03 0.20 0.43 1.459
0.03 0.38 0.32 1.459
0.03 0.51 0.24 1.459
0.03 0.82 0.05 1.459
0.04 0.08 0.50 1.459
0.04 0.21 0.42 1.459
0.04 0.39 0.31 1.459
0.04 0.52 0.23 1.459
0.04 0.83 0.04 1.459
0.05 0.09 0.49 1.459
0.05 0.22 0.41 1.459
0.05 0.40 0.30 1.459
0.05 0.53 0.22 1.459
0.05 0.84 0.03 1.459
0.06 0.10 0.48 1.459
0.06 0.23 0.40 1.459
0.06 0.41 0.29 1.459
0.06 0.54 0.21 1.459
0.06 0.85 0.02 1.459
0.07 0.11 0.47 1.459
0.07 0.24 0.39 1.459
0.07 0.42 0.28 1.459
0.07 0.55 0.20 1.459
0.07 0.86 0.01 1.459
0.08 0.12 0.46 1.459
0.08 0.25 0.38 1.459
0.08 0.43 0.27 1.459
0.08 0.56 0.19 1.459
0.08 0.87 0.00 1.459
0.09 0.13 0.45 1.459
0.09 0.26 0.37 1.459
0.09 0.44 0.26 1.459
0.09 0.57 0.18 1.459
0.1 0.14 0.44 1.459
0.1 0.27 0.36 1.459
0.1 0.45 0.25 1.459
0.1 0.58 0.17 1.459
0.11 0.15 0.43 1.459
0.11 0.28 0.35 1.459
0.11 0.46 0.24 1.459
0.11 0.59 0.16 1.459
0.12 0.16 0.42 1.459
0.12 0.29 0.34 1.459
0.12 0.47 0.23 1.459
0.12 0.60 0.15 1.459
0.13 0.17 0.41 1.459
0.13 0.30 0.33 1.459
0.13 0.48 0.22 1.459
0.13 0.61 0.14 1.459
0.14 0.18 0.40 1.459
0.14 0.31 0.32 1.459
0.14 0.49 0.21 1.459
0.14 0.62 0.13 1.459
0.15 0.19 0.39 1.459
0.15 0.32 0.31 1.459
0.15 0.50 0.20 1.459
0.15 0.63 0.12 1.459
0.16 0.20 0.38 1.459
0.16 0.33 0.30 1.459
0.16 0.51 0.19 1.459
0.16 0.64 0.11 1.459
0.17 0.21 0.37 1.459
0.17 0.34 0.29 1.459
0.17 0.52 0.18 1.459
0.17 0.65 0.10 1.459
0.18 0.22 0.36 1.459
0.18 0.35 0.28 1.459
0.18 0.53 0.17 1.459
0.18 0.66 0.09 1.459
0.19 0.23 0.35 1.459
0.19 0.36 0.27 1.459
0.19 0.54 0.16 1.459
0.19 0.67 0.08 1.459
0.2 0.24 0.34 1.459
0.2 0.37 0.26 1.459
0.2 0.55 0.15 1.459
0.2 0.68 0.07 1.459
0.21 0.25 0.33 1.459
0.21 0.38 0.25 1.459
0.21 0.56 0.14 1.459
0.21 0.69 0.06 1.459
0.22 0.26 0.32 1.459
0.22 0.39 0.24 1.459
0.22 0.57 0.13 1.459
0.22 0.70 0.05 1.459
0.23 0.27 0.31 1.459
0.23 0.40 0.23 1.459
0.23 0.58 0.12 1.459
0.23 0.71 0.04 1.459
0.24 0.28 0.30 1.459
0.24 0.41 0.22 1.459
0.24 0.59 0.11 1.459
0.24 0.72 0.03 1.459
0.25 0.29 0.29 1.459
0.25 0.42 0.21 1.459
0.25 0.60 0.10 1.459
0.25 0.73 0.02 1.459
0.26 0.30 0.28 1.459
0.26 0.43 0.20 1.459
0.26 0.61 0.09 1.459
0.27 0.00 0.46 1.459
0.27 0.31 0.27 1.459
0.27 0.44 0.19 1.459
0.27 0.62 0.08 1.459
0.28 0.01 0.45 1.459
0.28 0.32 0.26 1.459
0.28 0.45 0.18 1.459
0.28 0.63 0.07 1.459
0.29 0.02 0.44 1.459
0.29 0.33 0.25 1.459
0.29 0.46 0.17 1.459
0.29 0.64 0.06 1.459
0.3 0.03 0.43 1.459
0.3 0.34 0.24 1.459
0.3 0.47 0.16 1.459
0.3 0.65 0.05 1.459
0.31 0.04 0.42 1.459
0.31 0.35 0.23 1.459
0.31 0.48 0.15 1.459
0.32 0.05 0.41 1.459
0.32 0.36 0.22 1.459
0.32 0.49 0.14 1.459
0.33 0.06 0.40 1.459
0.33 0.37 0.21 1.459
0.33 0.50 0.13 1.459
0.34 0.07 0.39 1.459
0.34 0.38 0.20 1.459
0.34 0.51 0.12 1.459
0.35000000000000003 0.08 0.38 1.459
0.35000000000000003 0.39 0.19 1.459
0.35000000000000003 0.52 0.11 1.459
0.36 0.09 0.37 1.459
0.36 0.40 0.18 1.459
0.36 0.53 0.10 1.459
0.37 0.10 0.36 1.459
0.37 0.41 0.17 1.459
0.37 0.54 0.09 1.459
0.38 0.11 0.35 1.459
0.38 0.42 0.16 1.459
0.39 0.12 0.34 1.459
0.39 0.43 0.15 1.459
0.4 0.13 0.33 1.459
0.4 0.44 0.14 1.459
0.41000000000000003 0.14 0.32 1.459
0.41000000000000003 0.45 0.13 1.459
0.42 0.15 0.31 1.459
0.42 0.46 0.12 1.459
0.43 0.16 0.30 1.459
0.43 0.47 0.11 1.459
0.44 0.17 0.29 1.459
0.45 0.18 0.28 1.459
0.46 0.19 0.27 1.459
0.47000000000000003 0.20 0.26 1.459
0.48 0.21 0.25 1.459
0.49 0.22 0.24 1.459
0.5 0.23 0.23 1.459
0.51 0.24 0.22 1.459
0.52 0.25 0.21 1.459
0.53 0.26 0.20 1.459
0.54 0.27 0.19 1.459
0.58 0.00 0.34 1.459
0.59 0.01 0.33 1.459
0.6 0.02 0.32 1.459
0.61 0.03 0.31 1.459
0.62 0.04 0.30 1.459
0.63 0.05 0.29 1.459
0.64 0.06 0.28 1.459
0.65 0.07 0.27 1.459
0.66 0.08 0.26 1.459

0.0 0.22 0.43 1.46
0.0 0.53 0.24 1.46
0.0 0.66 0.16 1.46
0.01 0.23 0.42 1.46
0.01 0.54 0.23 1.46
0.01 0.67 0.15 1.46
0.02 0.24 0.41 1.46
0.02 0.55 0.22 1.46
0.02 0.68 0.14 1.46
0.03 0.25 0.40 1.46
0.03 0.56 0.21 1.46
0.03 0.69 0.13 1.46
0.04 0.26 0.39 1.46
0.04 0.57 0.20 1.46
0.04 0.70 0.12 1.46
0.05 0.27 0.38 1.46
0.05 0.58 0.19 1.46
0.05 0.71 0.11 1.46
0.06 0.28 0.37 1.46
0.06 0.59 0.18 1.46
0.06 0.72 0.10 1.46
0.07 0.29 0.36 1.46
0.07 0.60 0.17 1.46
0.07 0.73 0.09 1.46
0.08 0.30 0.35 1.46
0.08 0.61 0.16 1.46
0.08 0.74 0.08 1.46
0.09 0.00 0.53 1.46
0.09 0.31 0.34 1.46
0.09 0.62 0.15 1.46
0.09 0.75 0.07 1.46
0.1 0.01 0.52 1.46
0.1 0.32 0.33 1.46
0.1 0.63 0.14 1.46
0.1 0.76 0.06 1.46
0.11 0.02 0.51 1.46
0.11 0.33 0.32 1.46
0.11 0.64 0.13 1.46
0.11 0.77 0.05 1.46
0.12 0.03 0.50 1.46
0.12 0.34 0.31 1.46
0.12 0.65 0.12 1.46
0.12 0.78 0.04 1.46
0.13 0.04 0.49 1.46
0.13 0.35 0.30 1.46
0.13 0.66 0.11 1.46
0.13 0.79 0.03 1.46
0.14 0.05 0.48 1.46
0.14 0.36 0.29 1.46
0.14 0.67 0.10 1.46
0.14 0.80 0.02 1.46
0.15 0.06 0.47 1.46
0.15 0.37 0.28 1.46
0.15 0.68 0.09 1.46
0.15 0.81 0.01 1.46
0.16 0.07 0.46 1.46
0.16 0.38 0.27 1.46
0.16 0.69 0.08 1.46
0.16 0.82 0.00 1.46
0.17 0.08 0.45 1.46
0.17 0.39 0.26 1.46
0.17 0.70 0.07 1.46
0.18 0.09 0.44 1.46
0.18 0.40 0.25 1.46
0.18 0.71 0.06 1.46
0.19 0.10 0.43 1.46
0.19 0.41 0.24 1.46
0.19 0.72 0.05 1.46
0.2 0.11 0.42 1.46
0.2 0.42 0.23 1.46
0.2 0.73 0.04 1.46
0.21 0.12 0.41 1.46
0.21 0.43 0.22 1.46
0.21 0.74 0.03 1.46
0.22 0.13 0.40 1.46
0.22 0.44 0.21 1.46
0.22 0.75 0.02 1.46
0.23 0.14 0.39 1.46
0.23 0.45 0.20 1.46
0.23 0.76 0.01 1.46
0.24 0.15 0.38 1.46
0.24 0.46 0.19 1.46
0.25 0.16 0.37 1.46
0.25 0.47 0.18 1.46
0.26 0.17 0.36 1.46
0.26 0.48 0.17 1.46
0.27 0.18 0.35 1.46
0.27 0.49 0.16 1.46
0.28 0.19 0.34 1.46
0.28 0.50 0.15 1.46
0.29 0.20 0.33 1.46
0.29 0.51 0.14 1.46
0.3 0.21 0.32 1.46
0.3 0.52 0.13 1.46
0.31 0.22 0.31 1.46
0.31 0.53 0.12 1.46
0.32 0.23 0.30 1.46
0.32 0.54 0.11 1.46
0.33 0.24 0.29 1.46
0.33 0.55 0.10 1.46
0.34 0.25 0.28 1.46
0.34 0.56 0.09 1.46
0.35000000000000003 0.26 0.27 1.46
0.35000000000000003 0.57 0.08 1.46
0.36 0.27 0.26 1.46
0.36 0.58 0.07 1.46
0.37 0.28 0.25 1.46
0.38 0.29 0.24 1.46
0.39 0.30 0.23 1.46
0.4 0.00 0.41 1.46
0.4 0.31 0.22 1.46
0.41000000000000003 0.01 0.40 1.46
0.41000000000000003 0.32 0.21 1.46
0.42 0.02 0.39 1.46
0.42 0.33 0.20 1.46
0.43 0.03 0.38 1.46
0.43 0.34 0.19 1.46
0.44 0.04 0.37 1.46
0.44 0.35 0.18 1.46
0.45 0.05 0.36 1.46
0.45 0.36 0.17 1.46
0.46 0.06 0.35 1.46
0.46 0.37 0.16 1.46
0.47000000000000003 0.07 0.34 1.46
0.47000000000000003 0.38 0.15 1.46
0.48 0.08 0.33 1.46
0.48 0.39 0.14 1.46
0.49 0.09 0.32 1.46
0.5 0.10 0.31 1.46
0.51 0.11 0.30 1.46
0.52 0.12 0.29 1.46
0.53 0.13 0.28 1.46
0.54 0.14 0.27 1.46
0.55 0.15 0.26 1.46
0.56 0.16 0.25 1.46
0.5700000000000001 0.17 0.24 1.46
0.58 0.18 0.23 1.46
0.59 0.19 0.22 1.46
0.71 0.00 0.29 1.46
0.72 0.01 0.28 1.46
